title,money,knoladge,company,addition,city,link
Программист,120,INTERIN PROMIS C ORACLE ORACLE APEX HTML CSS JAVASCRIPT JQUERY,ФГБУ ФНКЦ специализированных видов медицинской помощи и медицинских технологий ФМБА России,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/programmist-31332495.html
Ведущий инженер-программист,70,PHP JAVASCRIPT SQL WINDOWS LINUX,Электромеханика6.8,,Пенза,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/veduschij-inzhener-programmist-40861972.html
Программист АСУ,,JAVASCRIPT JAVA C,Арт-Рекрутинг,"['Отклик без резюме', 'Опыт не нужен']",Санкт-Петербург,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/programmist-asu-44771786.html
Системный администратор,100,CNET ASPNET CORE WPF TSQL JAVASCRIPT POSTGRESQL,Поликлиника № 5 УДП РФ,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/sistemnyj-administrator-45538721.html
Тьютор,,PYTHON JAVA JS,Образовательный холдинг СИНЕРГИЯ,['Удаленная работа'],Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/tyutor-44934702.html
Преподаватель специальных дисциплин (09.02.07 Информационные системы и программирование),85,C C JS PHP PYTHON,МГОК,['Будьте первым'],Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/prepodavatel-specialnyh-disciplin-45582863.html
Администратор баз данных,25,MS SQL MYSQL POSTGRESQL PHP JAVASCRIPT,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,['Опыт не нужен'],Волгоград,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/administrator-baz-dannyh-45394764.html
Программист Битрикс24,120,HTML CSS JS VUEJS GIT,Кадровое агентство уникальных специалистов,['Удаленная работа'],Ростов-на-Дону,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/programmist-bitriks24-45168787.html
Консультант онлайн-поддержки с техническими знаниями,30,JAVASCRIPT HTML,Яндекс,['Удаленная работа'],Ногинск,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/konsultant-onlajn-podderzhki-s-tehnicheskimi-znaniyami-44793488.html
Middle Java разработчик (backend-разработчик),130,JAVASCRIPT CSS HTML,Московский завод Физприбор,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/middle-java-razrabotchik-42997150.html
Web-backend разработчик,,NET CORE JAVASCRIPT JSCSS A,Friendwork,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/web-backend-razrabotchik-45374182.html
Frontend разработчик,100,NODEJS JAVASCRIPT ES AJAX JQUERY JSON,Нордкомп,,Сыктывкар,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/frontend-razrabotchik-31884386.html
Администратор Битрикс 24,130,HTML CSS JAVASCRIPT AJAX JQUERY PHP SQL XML JS HTML GIT,ВЕСТ КОЛЛ ЛТД,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/administrator-bitriks-24-42841899.html
"Преподаватель специальных дисциплин (информатика, программирование, информационная безопасность)",85,C C JS PHP PYTHON,ГОУ СПО Колледж связи,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/prepodavatel-specialnyh-disciplin-45443049.html
Программист PHP,180,VUEJS RABBITMQ REDDIS,Лаборатория Гемотест7.4,['Удаленная работа'],Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/programmist-php-38108403.html
PHP-программист (LMS Moodle),120,PHP JS MYSQL PHP MYSQL HTML CSS JAVASCRIPT JQUERY MOODLE GIT,МФТИ,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/php-programmist-45262839.html
Программист-разработчик,80,SQL POSTGRESQL JAVA EE JAVA SE JAVASCRIPT GIT MAVEN,Иркутский диагностический центр,,Иркутск,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/programmist-razrabotchik-32174378.html
Инженер технической поддержки,58,EMAILSERVICEDESK HTML CSS JS PHP WORDPRESS,"ФГБОУ инклюзивного высшего образования ""Московский государственный гуманитарно-экономический университет""",,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/inzhener-tehnicheskoj-podderzhki-45442847.html
Full stack developer JAVA,250,GROOVY JAVASCRIPT JQUERY JAVA MAVEN OSGI ACTIVEOBJECTSJAXRSAPACHE LUCENE JUNIT VELOCITY GROOVY SQL JS JIRA,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/full-stack-developer-java-45394482.html
Специалист службы поддержки (с техническими знаниями),15,JAVASCRIPT HTML PYTHON,Яндекс,"['Отклик без резюме', 'Опыт не нужен', 'Удаленная работа']",Новокуйбышевск,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/specialist-sluzhby-podderzhki-37985820.html
Технический писатель,,JAVA VUEJS JIRA CONFLUENCE,Московский завод Физприбор,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/tehnicheskij-pisatel-42997165.html
Разработчик PHP Laravel,,LARAVEL POSTGRESQL RABBIT MQ PHP HTML CSS JS MYSQL,Технопарк «Сколково»,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/razrabotchik-php-laravel-45003993.html
C#.Net Backend Developer,,NET HTML JAVASCRIPT ASP NET,Технопарк «Сколково»,['Удаленная работа'],Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/c-44950933.html
Разработчик .NET,,GEMS DEVELOPMENT NPM YARN NUGET JAVASCRIPT ANGULAR EXT JS POSTGRESQL,Технопарк «Сколково»,,Омск,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/razrabotchik-42062810.html
Angular-разработчик,,ANGULAR JS TYPESCRIPT POSTGRESQL SEQUELIZE EXPRESS JAVASCRIPT TYPESCRIPT ANGULAR JS,Технопарк «Сколково»,['Удаленная работа'],Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/angular-razrabotchik-44024437.html
Ведущий системный администратор,40,WINDOWS SERVER CENTOS POSTRESQL NODE JS NGINX ZIMBRA ASTERISK JIRA CONFLUENCE,Нордкомп,,Сыктывкар,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/veduschij-sistemnyj-administrator-41158826.html
Руководитель отдела технической поддержки,55,WINDOWS SERVER CENTOS POSTRESQL NODE JS NGINX ZIMBRA ASTERISK JIRA CONFLUENCE,Нордкомп,,Сыктывкар,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1&page=2/vakansii/rukovoditel-otdela-tehnicheskoj-podderzhki-41159790.html
