title,money,knoladge,company,addition,city,link
Инженер 2 категории,70,MATLAB PYTHON OPENCV NUMPY SCIKITLEARN PANDAS,"Корпорация ""Комета""",,Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/inzhener-2-kategorii-43004529.html
Инженер-программист,42,PYTHON JAVA,Хабкрайкадастр,,Хабаровск,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/inzhener-programmist-44869828.html
Инженер-радиоэлектронщик 1 категории,100,ATMEL STM PYTHON JAVA ATMEL CORTEX,Радиофизика,"['Отклик без резюме', 'Опыт не нужен']",Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/inzhener-radioelektronschik-1-kategorii-43148990.html
Инженер-программист,34,PYTHON PHP DELPHI JAVA FOXPRO CACHE ORACLE WINDOWS SERVER LINUX,УГИБДД УМВД России по Астраханской области,['Опыт не нужен'],Астрахань,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/inzhener-programmist-43503556.html
Сетевой инженер,,IPMPLS CISCO ASR LINUX PYTHON ANSIBLE INTERMEDIATE,МГТС,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/setevoj-inzhener-45541813.html
Specialist DevOps,280,PYTHON GOLANG OPENSTACK VMWARE,ALP GROUP,['Удаленная работа'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/specialist-devops-40719996.html
Начальник информационно-аналитического отдела,140,IT IT PYTHON POWERSHELL,"ГБУЗ ""ГП № 219 ДЗМ""",,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/nachalnik-informacionno-analiticheskogo-otdela-45483250.html
Enterprise architect,,PYTHONJAVA,КонсалтПро,['Будьте первым'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/enterprise-architect-45125593.html
Инженер-системотехник САУ Беспилотные Авиационные Системы,150,C PYTHON MAVSDK,Летающие Машины Тюринга,['Доступно студентам'],Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/inzhener-sistemotehnik-sau-bespilotnye-aviacionnye-sistemy-45450211.html
Преподаватель-репетитор по программированию,,PYTHON C JAVA,,"['Удаленная работа', 'Доступно для соискателей с ограниченными возможностями', 'Доступно студентам']",Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/prepodavatel-repetitor-po-programmirovaniyu-45213819.html
Учитель информатики/ технологии/ робототехники/ управления БПЛА,,PYTHON LEGO MINDSTORMS D,"ГБОУ ""Лицей №126"" Калининского района Санкт-Петербурга",['Доступно студентам'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/uchitel-informatiki-38641581.html
Системный администратор,120,BASH PYTHON PHP POWERSHELL IP,ЭКО центр,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/sistemnyj-administrator-38671598.html
Системный администратор (специалист по работе с МИС Самсон),50,PYTHON SQL LINUXWINDOWS,СПб ГБУЗ Городская поликлиника № 38,,Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/sistemnyj-administrator-45317963.html
Главный специалист информационной безопасности (endpoint security),,PYTHONGO KUBERNETES KS DOCKER,,"['Отклик без резюме', 'Удаленная работа']",Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/glavnyj-specialist-informacionnoj-bezopasnosti-44929138.html
Преподаватель специальных дисциплин (09.02.07 Информационные системы и программирование),85,C C JS PHP PYTHON,МГОК,['Будьте первым'],Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/prepodavatel-specialnyh-disciplin-45582863.html
Системный администратор Unix,130,LINUX RHEL OEL UBUNTU LINUX BASH PYTHON,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г. Москве,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/sistemnyj-administrator-unix-45394547.html
Аналитик данных,,TERADATA ORACLE GREENPLUM SQL PYTHON POWER BIONFLUENCEQLIK SENSEVISIO,Сбербанк,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/analitik-dannyh-44488229.html
Инженер платформенной инфраструктуры (DevOps инженер),,KS CLICKHOUSE PROMETHEUSAL BASH GO PYTHON ETC,Технопарк «Сколково»,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/inzhener-platformennoj-infrastruktury-44402405.html
Специалист службы поддержки (с техническими знаниями),15,JAVASCRIPT HTML PYTHON,Яндекс,"['Отклик без резюме', 'Опыт не нужен', 'Удаленная работа']",Новокуйбышевск,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/specialist-sluzhby-podderzhki-37985820.html
DevOps,150,CICD PIPELINES WITH ZERODOWNTIME DOCKER BASH PYTHON VMWARE,Кадровое агентство уникальных специалистов,,Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/devops-45563994.html
Старший научный сотрудник,,EXCEL R PYTHON SPSS,ФГБОУ ВО МГППУ,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/starshij-nauchnyj-sotrudnik-41239513.html
"Системный администратор, программист",,PYTHON JAVA POSTGRESQL MYSQL,"ФГБУ ""Научно-исследовательский центр космической гидрометеорологии ""Планета""",['Доступно студентам'],Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/sistemnyj-administrator-43137935.html
Сетевой инженер,,IPMPLS CISCO ASR LINUX PYTHON ANSIBLE INTERMEDIATE,МГТС,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/setevoj-inzhener-45541813.html
Системный администратор,120,BASH PYTHON PHP POWERSHELL IP,ЭКО центр,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/sistemnyj-administrator-38671598.html
Системный администратор (специалист по работе с МИС Самсон),50,PYTHON SQL LINUXWINDOWS,СПб ГБУЗ Городская поликлиника № 38,,Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/sistemnyj-administrator-45317963.html
IP-телефонист,180,IP BASHPYTHON,СМ-Клиника7.2,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/ip-telefonist-45475578.html
Тьютор,,PYTHON JAVA JS,Образовательный холдинг СИНЕРГИЯ,['Удаленная работа'],Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/tyutor-44934702.html
Инженер-программист (Беспилотные Авиационные Системы),150,C PYTHON JAVA LINUX ROS PX,Летающие Машины Тюринга,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/inzhener-programmist-45495808.html
Инженер-схемотехник,60,PYTHON STM AVR,ФГУП ВНИИФТРИ,,Менделеево,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/inzhener-shemotehnik-38000105.html
"Преподаватель специальных дисциплин (информатика, программирование, информационная безопасность)",85,C C JS PHP PYTHON,ГОУ СПО Колледж связи,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/prepodavatel-specialnyh-disciplin-45443049.html
Системный администратор,,LINUX RHEL CENTOS DEBIAN UBUNTU SHELL PYTHON ANSIBLE CHEF PUPPET ETC,Лаборатория Гемотест7.4,['Удаленная работа'],Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/sistemnyj-administrator-45536062.html
Программист-разработчик,50,PYTHON DJANGO VUEJS POSTGRES,,,Волгоград,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/programmist-razrabotchik-32041070.html
