title,money,knoladge,company,addition,city,link
Инженер-сметчик,65.0,,ДСК,"['Старт карьеры', 'Полная занятость']",Аксай,https://russia.superjob.ru/vacancy/search/?page=30/vakansii/inzhener-smetchik-45924385.html
Грузчик на склад,55.0,,ПК МВ групп,['Полная занятость'],Лобня,https://russia.superjob.ru/vacancy/search/?page=30/vakansii/gruzchik-na-sklad-46706816.html
Специалист по пожарной безопасности,54.0,,"""Завод ""Буревестник""","['Опыт не нужен', 'Полная занятость']",Гатчина,https://russia.superjob.ru/vacancy/search/?page=30/vakansii/specialist-po-pozharnoj-bezopasnosti-50389533.html
Санитарка,67.0,,Мегастом - Академия Дентальной Имплантации,['Сменный график'],"Москва, Большой Козловский переулок, 10с2",https://russia.superjob.ru/vacancy/search/?page=30/vakansii/sanitarka-44925848.html
Машинист экскаватора,180.0,,"""ССК ""Газрегион""Проверенный работодатель7.9","['Отклик без резюме', 'Вахта']",Краснодар,https://russia.superjob.ru/vacancy/search/?page=30/vakansii/mashinist-ekskavatora-46897726.html
Врач ультразвуковой диагностики,100.0,,Семейная клиника АЛЬТАМЕД+,['Сменный график'],Одинцово,https://russia.superjob.ru/vacancy/search/?page=30/vakansii/vrach-ultrazvukovoj-diagnostiki-50554733.html
Специалист по документообороту,90.0,,АО ЦВ ПРОТЕКПроверенный работодатель,,"Москва, Чермянская улица, 2с1",https://russia.superjob.ru/vacancy/search/?page=30/vakansii/specialist-po-dokumentooborotu-51083263.html
Начинающий специалист,279.25,,«Почта Банк»6.8,"['Опыт не нужен', 'Полная занятость']",Зеленодольск (Республика Татарстан),https://russia.superjob.ru/vacancy/search/?page=30/vakansii/nachinayuschij-specialist-51083270.html
Электромонтер контактной сети,71.33333333333333,,Российские железные дорогиПроверенный работодатель,"['Опыт не нужен', 'Полная занятость']",Новосибирск,https://russia.superjob.ru/vacancy/search/?page=30/vakansii/elektromonter-kontaktnoj-seti-50688037.html
Сортировщик печатной упаковки,60.0,,Упаковка,"['Опыт не нужен', 'Полная занятость']","Москва, Промышленная улица, 3с3",https://russia.superjob.ru/vacancy/search/?page=30/vakansii/sortirovschik-pechatnoj-upakovki-51166284.html
Водитель погрузчика / ричтрака,353.0,,Компания SIMPLE,['Полная занятость'],,https://russia.superjob.ru/vacancy/search/?page=30/vakansii/voditel-pogruzchika-51083260.html
Специалист технической поддержки Отдела обработки обращений пользователей и контроля,40.0,MS OFFICE,Социальный фонд России,"['Опыт не нужен', 'Сменный график']","Москва, улица Сущёвский Вал, 1",https://russia.superjob.ru/vacancy/search/?page=31/vakansii/specialist-tehnicheskoj-podderzhki-otdela-obrabotki-obraschenij-polzovatelej-i-kontrolya-50604125.html
Кладовщик на завод Мясновъ,93.0,,"КуулКлевер (МясновЪ, Отдохни)6.3",['Полная занятость'],"Москва, Бирюлёвская улица, 38",https://russia.superjob.ru/vacancy/search/?page=31/vakansii/kladovschik-na-zavod-myasnov-50959269.html
Маляр строительный (5 разряд),80.0,,"СПб ГУП ""Горэлектротранс""6.9",['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/malyar-stroitelnyj-50763476.html
Комплектовщик изделий и инструмента (м. Лианозово),65.0,,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, Дмитровское шоссе, 110",https://russia.superjob.ru/vacancy/search/?page=31/vakansii/komplektovschik-izdelij-i-instrumenta-50854447.html
"Почтальон по сопровождению почты, денежных средств",163.0,,Почта РоссииПроверенный работодатель6.2,"['Опыт не нужен', 'Полная занятость']",Орел,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/pochtalon-po-soprovozhdeniyu-pochty-50493001.html
Обвальщик мяса,398.5,,АПХ Мираторг6.6,"['Опыт не нужен', 'Полная занятость']",Курск,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/obvalschik-myasa-51021111.html
"Продавец-кассир (ул. Ленина, 102)",37.5,KO A B O C AC H EE AO O OO AO O PE P O,Глория Джинс6.4,"['Опыт не нужен', 'Полная занятость']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=31/vakansii/prodavec-kassir-51149519.html
Продавец-консультант,39.0,,ТД Грасс7.1,,Владикавказ,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/prodavec-konsultant-51073703.html
Техник по обслуживанию зданий,344.6666666666667,,АшанПроверенный работодатель7.1,"['Отклик без резюме', 'Опыт не нужен']",Домодедово,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/tehnik-po-obsluzhivaniyu-zdanij-51061521.html
Врач-гастроэнтеролог (Видное),120.0,,"Стоматологические клиники ""ПрезиДЕНТ""",['Полная занятость'],,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/vrach-gastroenterolog-50851646.html
Контролер по опломбированию счетчиков,30.0,E BC,Т Плюс7.1,"['Опыт не нужен', 'Частичная занятость', 'Совместительство']",Саратов,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/kontroler-po-oplombirovaniyu-schetchikov-51161598.html
Кладовщик-комплектовщик,60.0,,ГК Миллениум,,Луганск,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/kladovschik-komplektovschik-51051646.html
"Техник обслуживания автоматических ворот, дверей",85.0,,Московский аэропорт ДомодедовоПроверенный работодатель,"['Старт карьеры', 'Сменный график']",Домодедово,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/tehnik-obsluzhivaniya-avtomaticheskih-vorot-50766041.html
Уборщица моп,65.0,,ГРАНЕЛЬЖКХ,['Опыт не нужен'],Красногорск,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/uborschica-mop-51051545.html
Приемщик товара,152.66666666666666,,Азбука вкусаПроверенный работодатель7.4,['Сменный график'],"Москва, улица Народного Ополчения",https://russia.superjob.ru/vacancy/search/?page=31/vakansii/priemschik-tovara-50769476.html
Электромонтёр слаботочных систем,90.0,,ЕВРОПЕЙСКИЙ,['Полная занятость'],Москва,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/elektromontjor-slabotochnyh-sistem-49985118.html
Мастер кулинарного цеха,92.5,,МагнолияПроверенный работодатель7.3,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Москва,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/master-kulinarnogo-ceha-37010576.html
Специалист по выкладке/Мерчендайзер (детское питание),261.0,,Эй - Пи Трейд7.5,"['Опыт не нужен', 'Полная занятость']",Якутск,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/specialist-po-vykladke-51130162.html
"Менеджер по продажам недвижимости / Агент / Риелтор (вторичный рынок, м. Рязанский проспект)",150.0,,ИНКОМ - НедвижимостьПроверенный работодатель7.7,"['Опыт не нужен', 'Полная занятость']",Москва,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/menedzher-po-prodazham-nedvizhimosti-12199324.html
Врач-офтальмолог (м. Белорусская),197.5,,"Группа Компаний ""Медси""/АО ""ГРУППА КОМПАНИЙ ""МЕДСИ""Проверенный работодатель7.4",['Полная занятость'],"Москва, Грузинский переулок, 3А",https://russia.superjob.ru/vacancy/search/?page=31/vakansii/vrach-oftalmolog-50727210.html
Электромонтажник-наладчик,193.0,,«Золоторудная Компания Павлик»7.1,['Вахта'],Магадан,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/elektromontazhnik-naladchik-51141505.html
